,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
115,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,I-A*,-,1.0,9687.0,4449.0,0.0,0.0102
116,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,MM,6737.0,1.0,938.0,924.0,0.0,0.0021
117,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,I-MM,-,1.0,2035.0,924.0,0.0,0.0021
118,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,MM+IDMM(0.90),6063,1.0,1215497.0,1155351.0,0.0,1.5959
119,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,MM+IDMM(0.75),5052,1.0,1369516.0,1303860.0,0.0,1.7603
120,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,MM+IDMM(0.50),3368,1.0,1350113.0,1326023.0,0.0,1.7281
121,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,MM+IDMM(0.25),1684,1.0,1738070.0,1723823.0,0.0,2.1389
122,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,MM+IDMM(0.10),673,1.0,1957311.0,1827224.0,0.0,2.3077
123,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,A*+IDA*(0.90),6063,1.0,5336.0,8438.0,0.0,0.0073
124,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,A*+IDA*(0.75),5052,1.0,5424.0,8584.0,0.0,0.0069
125,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,A*+IDA*(0.50),3368,1.0,6096.0,7027.0,0.0,0.0071
126,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,A*+IDA*(0.25),1684,1.0,7099.0,7594.0,0.0,0.0072
127,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,A*+IDA*(0.10),673,1.0,8040.0,8361.0,0.0,0.0077
128,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,"MBBDS(k=1,ThreePhase=1)(0.90)",6063,1.0,6111.0,3042.0,5.0,0.0058
129,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,"MBBDS(k=1,ThreePhase=1)(0.75)",5052,1.0,6436.0,3508.0,6.0,0.0057
130,10.0,2.0,7.0, 4 9 3 6 0 5 2 1 7 8, 0 1 2 3 4 5 6 7 8 9,5.0,"MBBDS(k=1,ThreePhase=1)(0.50)",3368,1.0,6192.0,3508.0,6.0,0.005
